,station_cd,station_g_cd,station_name,station_name_k,station_name_r,line_cd,pref_cd,post,address,lon,lat,open_ymd,close_ymd,e_status,e_sort,station_name_roman,n,m,k_avg,intersection_count,streets_per_node_avg,streets_per_node_counts,streets_per_node_proportion,edge_length_total,edge_length_avg,street_length_total,street_length_avg,street_segments_count,node_density_km,intersection_density_km,edge_density_km,street_density_km,circuity_avg,self_loop_proportion,clean_intersection_count,clean_intersection_density_km
1504,1131201,1130101,東京,,,11312,13,100-0005,東京都千代田区丸の内一丁目,139.76610300000002,35.681391,0000-00-00,0000-00-00,0,1131201,toukyou,429,807,3.762237762237762,424,3.456876456876457,"{0: 0, 1: 5, 2: 3, 3: 228, 4: 179, 5: 12, 6: 2}","{0: 0.0, 1: 0.011655011655011656, 2: 0.006993006993006993, 3: 0.5314685314685315, 4: 0.4172494172494173, 5: 0.027972027972027972, 6: 0.004662004662004662}",60085.17100000009,74.45498265179688,51383.31800000002,74.79376710334792,687,189.77677988060125,187.56492929924227,26579.884081480894,22730.444358090772,1.0138700396022267,0.0012391573729863693,241,106.61119802150327
1505,1131202,1130223,神田,,,11312,13,101-0044,東京都千代田区鍛冶町二丁目13-1,139.77064099999998,35.691173,0000-00-00,0000-00-00,0,1131202,kanda,969,1940,4.004127966976264,955,3.34984520123839,"{0: 0, 1: 14, 2: 1, 3: 602, 4: 338, 5: 12, 6: 2}","{0: 0.0, 1: 0.014447884416924664, 2: 0.0010319917440660474, 3: 0.6212590299277606, 4: 0.34881320949432404, 5: 0.01238390092879257, 6: 0.0020639834881320948}",104802.95099999999,54.022139690721644,85753.22399999994,54.75940229885054,1566,401.97442444853164,396.16674442553943,43475.85749095217,35573.377566569645,1.010248769424323,0.0005154639175257732,511,211.98032083921532
1506,1131203,1131203,御茶ノ水,,,11312,13,101-0062,千代田区神田駿河台２丁目,139.76495500000001,35.699605,0000-00-00,0000-00-00,0,1131203,ochanomizu,1106,2410,4.358047016274864,1077,3.2576853526220613,"{0: 0, 1: 29, 2: 0, 3: 743, 4: 326, 5: 7, 6: 1}","{0: 0.0, 1: 0.026220614828209764, 2: 0.0, 3: 0.6717902350813744, 4: 0.29475587703435807, 5: 0.006329113924050633, 6: 0.0009041591320072332}",111316.18199999997,46.18928713692945,81149.15900000019,46.717995970063434,1737,439.2503205954964,427.73290712599425,44209.46530828808,32228.56610018535,1.0076484878244922,0.0,543,215.653638411713
1507,1131207,1131102,四ツ谷,,,11312,13,160-0004,東京都新宿区四谷一丁目,139.73064399999998,35.686040999999996,0000-00-00,0000-00-00,0,1131207,shitsutani,492,1101,4.475609756097561,412,2.821138211382114,"{0: 0, 1: 80, 2: 1, 3: 338, 4: 73}","{0: 0.0, 1: 0.16260162601626016, 2: 0.0020325203252032522, 3: 0.6869918699186992, 4: 0.1483739837398374}",70296.7970000001,63.848135331516886,43993.60300000002,66.355358974359,663,202.38711144826598,169.47863804204388,28917.00343271372,18097.028929617423,1.0417099842404234,0.0,255,104.89575898233298
1508,1131211,1130208,新宿,,,11312,13,160-0022,東京都新宿区新宿三丁目38-1,139.70046399999998,35.689729,0000-00-00,0000-00-00,0,1131211,shinjuku,712,1614,4.533707865168539,680,3.1657303370786516,"{0: 0, 1: 32, 2: 1, 3: 509, 4: 160, 5: 7, 6: 3}","{0: 0.0, 1: 0.0449438202247191, 2: 0.0014044943820224719, 3: 0.7148876404494382, 4: 0.2247191011235955, 5: 0.009831460674157303, 6: 0.004213483146067416}",88103.22099999992,54.58687794299871,60637.222000000016,56.093637372802974,1081,291.60961691162595,278.50356671335066,36083.91365799199,24834.82735674891,1.0230615833530234,0.0,397,162.59693527235325
1509,1131214,1131214,中野,,,11312,13,164-0001,中野区中野５丁目,139.66583500000002,35.705765,0000-00-00,0000-00-00,0,1131214,nakano,1109,2706,4.880072137060415,936,2.816952209197475,"{0: 0, 1: 173, 2: 8, 3: 779, 4: 147, 5: 2}","{0: 0.0, 1: 0.15599639314697927, 2: 0.007213706041478809, 3: 0.7024346257889991, 4: 0.13255184851217314, 5: 0.0018034265103697023}",126528.10399999961,46.758353288987294,69962.52599999993,46.64168399999995,1500,439.6848893465551,371.09563248726386,50164.55852702367,27738.021192710057,1.032749490542144,0.0,526,208.54305842767178
1510,1131215,1131215,高円寺,,,11312,13,166-0003,杉並区高円寺南４丁目,139.649664,35.705326,0000-00-00,0000-00-00,0,1131215,kouenji,1331,3355,5.041322314049586,1176,2.9151014274981217,"{0: 0, 1: 155, 2: 8, 3: 966, 4: 199, 5: 3}","{0: 0.0, 1: 0.11645379413974455, 2: 0.006010518407212622, 3: 0.7257700976709242, 4: 0.14951164537941397, 5: 0.002253944402704733}",143680.98800000016,42.8259278688525,80573.31000000004,42.97243200000002,1875,530.1026282177382,468.3701658783322,57224.39471353974,32090.250484750257,1.020046734544968,0.0,606,241.35401404954874
1511,1131216,1131216,阿佐ケ谷,,,11312,13,166-0004,東京都杉並区阿佐谷南三丁目36-3,139.635868,35.704817999999996,0000-00-00,0000-00-00,0,1131216,asaketani,1290,3427,5.313178294573643,1148,2.9085271317829458,"{0: 0, 1: 142, 2: 4, 3: 978, 4: 162, 5: 4}","{0: 0.0, 1: 0.11007751937984496, 2: 0.0031007751937984496, 3: 0.7581395348837209, 4: 0.12558139534883722, 5: 0.0031007751937984496}",150776.42300000024,43.996621826670626,79888.30899999994,44.08847075055184,1812,513.7513679284241,457.1988917688611,60047.74695163165,31816.06824049504,1.0279101258186054,0.0,571,227.4046752613412
1512,1131217,1131217,荻窪,,,11312,13,167-0043,杉並区上荻１丁目,139.620109,35.704522999999995,0000-00-00,0000-00-00,0,1131217,ogikubo,1182,2823,4.776649746192893,1010,2.8756345177664975,"{0: 0, 1: 172, 2: 9, 3: 802, 4: 192, 5: 7}","{0: 0.0, 1: 0.1455160744500846, 2: 0.007614213197969543, 3: 0.6785109983079526, 4: 0.16243654822335024, 5: 0.005922165820642978}",132896.5629999999,47.07635954658162,78656.58300000013,47.96133109756106,1640,469.8940943867599,401.5169503643211,52831.903653128546,31269.258744790248,1.0310861868381977,0.0,566,225.00850881802546
1513,1131218,1131218,西荻窪,,,11312,13,167-0053,杉並区西荻南３丁目,139.59936100000002,35.703842,0000-00-00,0000-00-00,0,1131218,nishiogikubo,758,1982,5.229551451187335,711,3.149076517150396,"{0: 0, 1: 47, 2: 4, 3: 496, 4: 211}","{0: 0.0, 1: 0.06200527704485488, 2: 0.005277044854881266, 3: 0.6543535620052771, 4: 0.2783641160949868}",117491.27399999995,59.279149344096844,67223.79899999994,58.81347244094483,1143,307.14968671074615,288.10478529200594,47608.71767855728,27239.800530812867,1.013532349522191,0.0,498,201.7949129049493
