,station_cd,station_g_cd,station_name,station_name_k,station_name_r,line_cd,pref_cd,post,address,lon,lat,open_ymd,close_ymd,e_status,e_sort,n,m,k_avg,intersection_count,streets_per_node_avg,streets_per_node_counts,streets_per_node_proportion,edge_length_total,edge_length_avg,street_length_total,street_length_avg,street_segments_count,node_density_km,intersection_density_km,edge_density_km,street_density_km,circuity_avg,self_loop_proportion,clean_intersection_count,clean_intersection_density_km
1504,1131201,1130101,東京,,,11312,13,100-0005,東京都千代田区丸の内一丁目,139.766103,35.681391,0000-00-00,0000-00-00,0,1131201,432,808,3.740740740740741,423,3.4212962962962963,"{0: 0, 1: 9, 2: 4, 3: 231, 4: 174, 5: 12, 6: 2}","{0: 0.0, 1: 0.020833333333333332, 2: 0.009259259259259259, 3: 0.5347222222222222, 4: 0.4027777777777778, 5: 0.027777777777777776, 6: 0.004629629629629629}",59201.26400000012,73.26889108910906,50739.37700000007,74.07208321167894,685,190.8004460720602,186.82543677889228,26147.286063031996,22409.943900505663,1.01243598646809,0.0012376237623762376,240,106.00024781781123
1505,1131202,1130223,神田,,,11312,13,101-0044,東京都千代田区鍛冶町二丁目13-1,139.770641,35.691173,0000-00-00,0000-00-00,0,1131202,973,1947,4.002055498458376,960,3.354573484069887,"{0: 0, 1: 13, 2: 1, 3: 603, 4: 342, 5: 12, 6: 2}","{0: 0.0, 1: 0.013360739979445015, 2: 0.0010277492291880781, 3: 0.6197327852004111, 4: 0.35149023638232274, 5: 0.012332990750256937, 6: 0.0020554984583761563}",104943.27099999994,53.899985105290156,85889.55299999999,54.49844733502537,1576,404.4020779977623,398.99896698648695,43616.93408456555,35697.75304367825,1.0102205510664892,0.0005136106831022085,511,212.38382513551545
1506,1131203,1131203,御茶ノ水,,,11312,13,101-0062,千代田区神田駿河台２丁目,139.764955,35.699605,0000-00-00,0000-00-00,0,1131203,1110,2413,4.347747747747747,1082,3.2612612612612613,"{0: 0, 1: 28, 2: 0, 3: 745, 4: 329, 5: 7, 6: 1}","{0: 0.0, 1: 0.025225225225225224, 2: 0.0, 3: 0.6711711711711712, 4: 0.2963963963963964, 5: 0.006306306306306306, 6: 0.0009009009009009009}",111503.97999999998,46.209689183588885,81436.87200000008,46.66869455587397,1745,441.5399402983769,430.4019958584179,44354.46907408235,32394.26270357351,1.008454196561861,0.0,543,215.996565389206
1507,1131207,1131102,四ツ谷,,,11312,13,160-0004,東京都新宿区四谷一丁目,139.730644,35.686041,0000-00-00,0000-00-00,0,1131207,496,1109,4.471774193548387,416,2.8286290322580645,"{0: 0, 1: 80, 2: 1, 3: 340, 4: 74, 5: 1}","{0: 0.0, 1: 0.16129032258064516, 2: 0.0020161290322580645, 3: 0.6854838709677419, 4: 0.14919354838709678, 5: 0.0020161290322580645}",70800.94499999992,63.84215058611354,44344.27799999999,66.08685245901638,671,202.6942535176728,170.00163198256428,28933.356240162888,18121.63372377048,1.0417028875757832,0.0,256,104.61638891234725
1508,1131211,1130208,新宿,,,11312,13,160-0022,東京都新宿区新宿三丁目38-1,139.700464,35.689729,0000-00-00,0000-00-00,0,1131211,717,1616,4.507670850767085,684,3.1520223152022315,"{0: 0, 1: 33, 2: 2, 3: 515, 4: 159, 5: 7, 6: 0, 7: 1}","{0: 0.0, 1: 0.04602510460251046, 2: 0.002789400278940028, 3: 0.7182705718270572, 4: 0.2217573221757322, 5: 0.009762900976290097, 6: 0.0, 7: 0.001394700139470014}",87715.25100000009,54.27923948019808,60432.935999999994,55.74994095940959,1084,294.2684221923549,280.72468727973603,35999.76082841897,24802.656520462424,1.0226852700817524,0.0,396,162.5248189514261
1509,1131214,1131214,中野,,,11312,13,164-0001,中野区中野５丁目,139.665835,35.705765,0000-00-00,0000-00-00,0,1131214,1151,2786,4.841007819287576,955,2.784535186794092,"{0: 0, 1: 196, 2: 8, 3: 797, 4: 148, 5: 2}","{0: 0.0, 1: 0.17028670721112077, 2: 0.0069504778453518675, 3: 0.6924413553431799, 4: 0.12858384013900956, 5: 0.0017376194613379669}",127186.80099999993,45.65211809045224,70245.71300000003,45.61409935064937,1540,458.0931271406063,380.0859569237872,50619.808341529075,27957.49638261647,1.0320479670021403,0.0,523,208.1517858336552
1510,1131215,1131215,高円寺,,,11312,13,166-0003,杉並区高円寺南４丁目,139.649664,35.705326,0000-00-00,0000-00-00,0,1131215,1335,3365,5.0411985018726595,1179,2.9138576779026217,"{0: 0, 1: 156, 2: 8, 3: 969, 4: 199, 5: 3}","{0: 0.0, 1: 0.11685393258426967, 2: 0.00599250936329588, 3: 0.7258426966292135, 4: 0.149063670411985, 5: 0.0022471910112359553}",143892.145,42.76141010401189,80731.86300000004,42.91965071770337,1881,530.2661946650957,468.3025045019834,57154.41211336941,32066.949648864313,1.020024952889712,0.0,609,241.89671352138072
1511,1131216,1131216,阿佐ケ谷,,,11312,13,166-0004,東京都杉並区阿佐谷南三丁目36-3,139.635868,35.704818,0000-00-00,0000-00-00,0,1131216,1295,3435,5.305019305019305,1150,2.905019305019305,"{0: 0, 1: 145, 2: 4, 3: 979, 4: 163, 5: 4}","{0: 0.0, 1: 0.11196911196911197, 2: 0.003088803088803089, 3: 0.7559845559845559, 4: 0.12586872586872586, 5: 0.003088803088803089}",151299.80099999974,44.04652139737984,80149.99800000008,44.13546145374454,1816,512.251187448771,454.89487688500907,59848.264650975005,31704.194323951095,1.0275128378868164,0.0,571,225.8651953924697
1512,1131217,1131217,荻窪,,,11312,13,167-0043,杉並区上荻１丁目,139.620109,35.704523,0000-00-00,0000-00-00,0,1131217,1157,2777,4.800345721694036,996,2.8928262748487468,"{0: 0, 1: 161, 2: 9, 3: 787, 4: 193, 5: 7}","{0: 0.0, 1: 0.13915298184961106, 2: 0.007778738115816767, 3: 0.6802074330164217, 4: 0.16681071737251513, 5: 0.006050129645635264}",132271.56299999973,47.6310993878285,78416.83199999997,48.55531393188853,1615,461.6229925632883,397.3867766577659,52774.06632937199,31286.959943969414,1.030299982765181,0.0,564,225.02624702307224
1513,1131218,1131218,西荻窪,,,11312,13,167-0053,杉並区西荻南３丁目,139.599361,35.703842,0000-00-00,0000-00-00,0,1131218,755,1977,5.237086092715232,711,3.1589403973509933,"{0: 0, 1: 44, 2: 4, 3: 495, 4: 212}","{0: 0.0, 1: 0.05827814569536424, 2: 0.005298013245033113, 3: 0.6556291390728477, 4: 0.280794701986755}",117382.42399999981,59.374013151239154,67193.26099999988,58.889799298860545,1141,305.9080077437149,288.0802562990481,47560.56088737479,27225.108087832345,1.0133977996307895,0.0,498,201.77773226009273
