station_cd,station_g_cd,station_name,station_name_k,station_name_r,line_cd,pref_cd,post,address,lon,lat,open_ymd,close_ymd,e_status,e_sort,n,m,k_avg,intersection_count,streets_per_node_avg,streets_per_node_counts,streets_per_node_proportion,edge_length_total,edge_length_avg,street_length_total,street_length_avg,street_segments_count,node_density_km,intersection_density_km,edge_density_km,street_density_km,circuity_avg,self_loop_proportion,clean_intersection_count,clean_intersection_density_km,station_name_roman,cluster_number
1130516,1130516,新三郷,,,11305,11,341-0012,三郷市半田,139.869341,35.858667,0000-00-00,0000-00-00,0,1130516,172.0,444.0,5.162790697674419,163.0,3.0872093023255816,"{0: 0, 1: 9, 2: 3, 3: 125, 4: 34, 5: 1}","{0: 0.0, 1: 0.05232558139534884, 2: 0.01744186046511628, 3: 0.7267441860465116, 4: 0.19767441860465115, 5: 0.005813953488372093}",52971.537,119.30526351351352,28927.383000000005,117.59098780487808,246.0,77.04204372334145,73.01077399363172,23726.95040492209,12957.120383068865,1.058288106007773,0.0045045045045045,115.0,51.51066876851318,,1
1131804,1131804,明覚,,,11318,11,355-0354,比企郡ときがわ町番匠,139.288789,36.003309,0000-00-00,0000-00-00,0,1131804,161.0,386.0,4.795031055900621,119.0,2.571428571428572,"{0: 0, 1: 42, 2: 0, 3: 104, 4: 15}","{0: 0.0, 1: 0.2608695652173913, 2: 0.0, 3: 0.6459627329192547, 4: 0.09316770186335403}",36703.788000000015,95.08753367875651,18351.894,95.08753367875649,193.0,93.8564494978941,69.37215832453042,21396.815060890764,10698.407530445378,1.0714166501673092,0.0,96.0,55.96409411054555,,1
1131806,1131806,竹沢,,,11318,11,355-0336,比企郡小川町大字勝呂,139.229952,36.075466,0000-00-00,0000-00-00,0,1131806,76.0,199.0,5.2368421052631575,67.0,2.8421052631578947,"{0: 0, 1: 9, 2: 0, 3: 61, 4: 6}","{0: 0.0, 1: 0.11842105263157894, 2: 0.0, 3: 0.8026315789473685, 4: 0.07894736842105263}",23099.28100000002,116.07678894472372,11596.391,115.96391,100.0,44.86809558408485,39.554768475443225,13637.115103047843,6846.1576291897545,1.1087917339211872,0.0050251256281407,58.0,34.241441366801595,,1
1131807,1131807,折原,,,11318,11,369-1225,大里郡寄居町大字西ノ入,139.195205,36.096296,0000-00-00,0000-00-00,0,1131807,70.0,168.0,4.8,56.0,2.642857142857143,"{0: 0, 1: 14, 2: 0, 3: 53, 4: 3}","{0: 0.0, 1: 0.2, 2: 0.0, 3: 0.7571428571428571, 4: 0.04285714285714286}",22398.246,133.32289285714282,11199.123,133.32289285714288,84.0,37.38335996969657,29.90668797575725,11961.73847011166,5980.869235055831,1.0864553308275964,0.0,48.0,25.634303979220505,,1
1131810,1131810,松久,,,11318,11,367-0113,児玉郡美里町大字甘粕,139.182127,36.172938,0000-00-00,0000-00-00,0,1131810,128.0,348.0,5.4375,118.0,3.0,"{0: 0, 1: 10, 2: 0, 3: 98, 4: 20}","{0: 0.0, 1: 0.078125, 2: 0.0, 3: 0.765625, 4: 0.15625}",44312.722,127.33540804597702,22156.361,127.33540804597702,174.0,64.54239691221642,59.50002215344952,22344.135090505504,11172.067545252752,1.0374238262494972,0.0,103.0,51.93646001529915,,1
2100134,2100134,東武竹沢,,,21001,11,355-0331,比企郡小川町大字靱負６８７-１,139.237591,36.0754,0000-00-00,0000-00-00,0,2100134,95.0,245.0,5.157894736842105,81.0,2.863157894736842,"{0: 0, 1: 14, 2: 0, 3: 66, 4: 15}","{0: 0.0, 1: 0.14736842105263157, 2: 0.0, 3: 0.6947368421052632, 4: 0.15789473684210525}",31021.595000000016,126.61875510204088,15557.548000000004,126.48413008130083,123.0,55.92903388442281,47.68686046987629,18263.24039898781,9159.1434657951,1.1046875588527985,0.0040816326530612,73.0,42.97704709013542,,1
2100135,2100135,男衾,,,21001,11,369-1216,大里郡寄居町大字富田１７９２-１,139.234442,36.107415,0000-00-00,0000-00-00,0,2100135,146.0,370.0,5.068493150684931,120.0,2.732876712328767,"{0: 0, 1: 26, 2: 0, 3: 108, 4: 11, 5: 1}","{0: 0.0, 1: 0.1780821917808219, 2: 0.0, 3: 0.7397260273972602, 4: 0.07534246575342465, 5: 0.00684931506849315}",43453.014000000025,117.44057837837843,21726.506999999983,117.44057837837828,185.0,67.4322316440949,55.423752036242384,20069.408943028087,10034.70447151403,1.0871621478514453,0.0054054054054054,96.0,44.33900162899391,,1
2100307,2100307,柳生,,,21003,11,349-1202,加須市小野袋1834-4,139.659645,36.206756,0000-00-00,0000-00-00,0,2100307,140.0,401.0,5.728571428571429,121.0,3.007142857142857,"{0: 0, 1: 19, 2: 0, 3: 83, 4: 37, 5: 1}","{0: 0.0, 1: 0.1357142857142857, 2: 0.0, 3: 0.5928571428571429, 4: 0.2642857142857143, 5: 0.007142857142857143}",48684.94800000002,121.40884788029928,24362.86200000001,121.20826865671646,201.0,77.35867210411219,66.85999517569697,26901.44949098396,13461.99037839811,1.0376235194074093,0.0074812967581047,115.0,63.54462351409215,,1
2100703,2100703,西大家,,,21007,11,350-0244,坂戸市大字森戸６２３-７,139.356321,35.931698,0000-00-00,0000-00-00,0,2100703,145.0,384.0,5.296551724137931,122.0,2.8413793103448275,"{0: 0, 1: 23, 2: 0, 3: 102, 4: 18, 5: 1, 6: 1}","{0: 0.0, 1: 0.15862068965517243, 2: 0.0, 3: 0.7034482758620689, 4: 0.12413793103448276, 5: 0.006896551724137931, 6: 0.006896551724137931}",42483.05000000003,110.63294270833342,21241.525000000005,110.63294270833336,192.0,66.85914885020188,56.25390454982503,19588.831472831524,9794.415736415756,1.0363362565586032,0.0,103.0,47.4930505625572,,1
2200128,2200128,武蔵横手,,,22001,11,350-1257,日高市横手字山下７５０,139.280667,35.885256,0000-00-00,0000-00-00,0,2200128,21.0,50.0,4.761904761904762,16.0,2.619047619047619,"{0: 0, 1: 5, 2: 0, 3: 14, 4: 2}","{0: 0.0, 1: 0.23809523809523808, 2: 0.0, 3: 0.6666666666666666, 4: 0.09523809523809523}",9189.346,183.78692000000004,4594.673,183.78692,25.0,67.58080326134582,51.49013581816824,29572.54210125882,14786.271050629408,1.1144921781352986,0.0,12.0,38.61760186362618,,1
